x,y
1.56,145.8
4.62,152.5
7.67,158.6
10.7,165.1
13.8,171.2
16.8,177.5
19.9,184.2
23.2,190.8
26.3,197
29.4,203.4
32.7,210.5
35.9,217.9
39.2,225.2
42.4,234.1
45.7,242.4
48.9,251.3
51.9,259.1
51.9,259.1
54.8,266.6
57.9,274.2
61.2,281.2
64.4,287
67.7,291.6
67.8,281.1
67.8,267.9
67.9,264.3
66.5,232.6
65,200.9
63.3,169.8
61.4,139.1
59.1,108.7
56.8,77.93
54.1,48.39
51.1,23.57
48.1,3.969
45,-11.35
42.9,-17.59
42.9,-14.79
42.9,-13.52
39.5,-34.14
39.5,-34.14
36.3,-44.5
33.1,-53.64
29.9,-61.58
26.6,-69.82
23.4,-77.82
20.3,-85.57
17.2,-93.57
14.2,-101
11.1,-108.3
7.99,-116.4
4.89,-124.8
1.87,-132.9
-1.26,-142
-4.35,-149.9
-7.38,-158.1
-10.4,-165.8
-13.4,-173
-16.4,-180.2
-19.4,-187.7
-22.4,-195.2
-25.6,-200.9
-28.9,-207.2
-28.9,-207.2
-32.4,-214.7
-35.8,-221.4
-39.1,-227.8
-42.4,-233.6
-45.7,-238.9
-48.8,-245
-52.2,-249.4
-54.8,-254.6
-57.8,-259.3
-60.7,-263.7
-63.4,-252.4
-63.4,-239.6
-63.4,-237.1
-62.1,-207.2
-60.4,-177.2
-58.6,-148.5
-56.7,-118.5
-54.4,-88.68
-51.7,-58.87
-48.8,-33.48
-45.9,-15.63
-42.7,2.177
-42.7,2.177
-39.6,18.76
-37.8,23.92
-37.8,21.17
-37.8,20.13
-34.4,43.12
-31.1,55.56
-27.7,65.65
-24.6,74.94
-21.4,83.69
-18.3,92.84
-15.4,101.5
-12.4,110.2
-9.3,117.8
-6.14,125.9
-3.09,133
0.0317,140.1
3.14,146.7
6.19,152.3
9.21,158
12.3,164.1
15.4,169.8
18.5,175
18.5,175
21.9,180.5
25,186.2
28.3,191.2
31.7,196.6
35.1,201.3
38.4,206.2
41.6,211.8
44.8,218.1
48,224.5
51.1,232.1
54.2,239.9
57.2,248.1
60.4,256.9
63.9,264.6
67.2,271.4
66.2,240.4
65.5,226.2
63.9,194.5
62.2,163.9
60.1,133.5
57.9,103.2
55.4,73.21
55.4,73.21
52.7,45.01
49.7,24.62
46.7,6.663
43.5,-9.661
40.3,-22.86
37.1,-34.33
33.8,-44.19
30.6,-52.68
27.3,-60.66
24,-68.44
20.9,-76.16
17.9,-83.43
14.8,-91.43
11.8,-98.77
8.73,-105.1
5.65,-111.4
2.54,-117.7
-0.477,-123.9
-3.6,-130
-6.64,-136.2
-9.66,-142.6
-12.7,-150.2
-12.7,-150.2
-15.7,-156.7
-18.7,-164.9
-21.7,-172.4
-24.8,-179
-28,-186.7
-31.2,-193.4
-34.2,-200.8
-37.6,-206.7
-41,-213.4
-44.3,-219.7
-47.7,-225.5
-50.7,-231.2
-53.7,-236.3
-56.5,-241.3
-59.5,-246.1
-62.6,-250.2
-62,-221.2
-60.4,-191
-58.6,-160.9
-56.6,-129.9
-54.2,-100.9
-51.9,-71.46
-51.9,-71.46
-48.9,-43.69
-45.8,-22.06
-42.7,-4.151
-39.3,13.72
-36.2,27.92
-32.8,40.52
-29.7,51.3
-26.3,60.36
-23.1,68.44
-19.9,77.22
-17,85.65
-14,94.25
-11,102.4
-7.97,110.6
-4.96,118.5
-1.85,126.3
1.24,132.9
4.34,140
7.45,146.2
10.5,151.8
13.5,157.8
16.6,163.4
16.6,163.4
19.6,168.1
22.8,174.5
25.9,179.6
29.2,184.4
32.4,189.6
35.6,193.9
38.9,199.5
42.1,204.3
43,173.2
41.2,142.6
38.9,112.1
36.2,82.1
33,54.47
29.9,33.81
26.6,15.22
23.5,-2.472
20.6,-17.61
17.4,-30.37
14.4,-39.63
11.4,-49.56
8.22,-58.97
5.12,-69.09
5.12,-69.09
2.04,-77.87
-1.06,-87.34
-4.21,-96.18
-7.29,-104.2
-10.4,-112.3
-13.5,-120.2
-16.5,-128.3
-19.5,-136.3
-22.6,-144.4
-25.7,-151.8
-28.9,-160.5
-32.3,-169
-35.6,-177.4
-38.9,-185.5
-39.7,-152.8
-37.6,-122.9
-35.2,-93.33
-32.5,-62.52
-29.3,-34.26
-26.2,-12.75
-23,1.844
-20.5,10.68
-20.5,10.68
-20.4,10.09
-20.4,9.677
-17.3,28.97
-14.3,39.8
-11.3,49.82
